group	condition	tokens	grammaticality
254	s_ab	It is those balls that Michelle stole quickly	True
254	s_xx	It is surprising that Michelle stole your jacket quickly	True
255	s_ab	It is those balls that Michelle stole carefully	True
255	s_xx	It is surprising that Michelle stole a phone carefully	True
256	s_ab	It is those balls that Michelle stole without falling	True
256	s_xx	It is surprising that Michelle stole a phone without falling	True
257	s_ab	It is those balls that Michelle stole quickly	True
257	s_xx	It is surprising that Michelle stole a phone quickly	True
258	s_ab	It is those balls that Michelle stole carefully	True
258	s_xx	It is surprising that Michelle stole the paperwork carefully	True
259	s_ab	It is those balls that Michelle stole without falling	True
259	s_xx	It is surprising that Michelle stole the paperwork without falling	True
260	s_ab	It is those balls that Michelle stole quickly	True
260	s_xx	It is surprising that Michelle stole the paperwork quickly	True
261	s_ab	It is those balls that Michelle threw carefully	True
261	s_xx	It is surprising that Michelle threw your jacket carefully	True
262	s_ab	It is those balls that Michelle threw without falling	True
262	s_xx	It is surprising that Michelle threw your jacket without falling	True
263	s_ab	It is those balls that Michelle threw quickly	True
263	s_xx	It is surprising that Michelle threw your jacket quickly	True
264	s_ab	It is those balls that Michelle threw carefully	True
264	s_xx	It is surprising that Michelle threw a phone carefully	True
265	s_ab	It is those balls that Michelle threw without falling	True
265	s_xx	It is surprising that Michelle threw a phone without falling	True
266	s_ab	It is those balls that Michelle threw quickly	True
266	s_xx	It is surprising that Michelle threw a phone quickly	True
267	s_ab	It is those balls that Michelle threw carefully	True
267	s_xx	It is surprising that Michelle threw the paperwork carefully	True
268	s_ab	It is those balls that Michelle threw without falling	True
268	s_xx	It is surprising that Michelle threw the paperwork without falling	True
269	s_ab	It is those balls that Michelle threw quickly	True
269	s_xx	It is surprising that Michelle threw the paperwork quickly	True
270	s_ab	It is those balls that Susan lifted carefully	True
270	s_xx	It is annoying that Susan lifted your jacket carefully	True
271	s_ab	It is those balls that Susan lifted without falling	True
271	s_xx	It is annoying that Susan lifted your jacket without falling	True
272	s_ab	It is those balls that Susan lifted quickly	True
272	s_xx	It is annoying that Susan lifted your jacket quickly	True
273	s_ab	It is those balls that Susan lifted carefully	True
273	s_xx	It is annoying that Susan lifted a phone carefully	True
274	s_ab	It is those balls that Susan lifted without falling	True
274	s_xx	It is annoying that Susan lifted a phone without falling	True
275	s_ab	It is those balls that Susan lifted quickly	True
275	s_xx	It is annoying that Susan lifted a phone quickly	True
276	s_ab	It is those balls that Susan lifted carefully	True
276	s_xx	It is annoying that Susan lifted the paperwork carefully	True
277	s_ab	It is those balls that Susan lifted without falling	True
277	s_xx	It is annoying that Susan lifted the paperwork without falling	True
278	s_ab	It is those balls that Susan lifted quickly	True
278	s_xx	It is annoying that Susan lifted the paperwork quickly	True
279	s_ab	It is those balls that Susan stole carefully	True
279	s_xx	It is annoying that Susan stole your jacket carefully	True
280	s_ab	It is those balls that Susan stole without falling	True
280	s_xx	It is annoying that Susan stole your jacket without falling	True
281	s_ab	It is those balls that Susan stole quickly	True
281	s_xx	It is annoying that Susan stole your jacket quickly	True
282	s_ab	It is those balls that Susan stole carefully	True
282	s_xx	It is annoying that Susan stole a phone carefully	True
283	s_ab	It is those balls that Susan stole without falling	True
283	s_xx	It is annoying that Susan stole a phone without falling	True
284	s_ab	It is those balls that Susan stole quickly	True
284	s_xx	It is annoying that Susan stole a phone quickly	True
285	s_ab	It is those balls that Susan stole carefully	True
285	s_xx	It is annoying that Susan stole the paperwork carefully	True
286	s_ab	It is those balls that Susan stole without falling	True
286	s_xx	It is annoying that Susan stole the paperwork without falling	True
287	s_ab	It is those balls that Susan stole quickly	True
287	s_xx	It is annoying that Susan stole the paperwork quickly	True
288	s_ab	It is those balls that Susan threw carefully	True
288	s_xx	It is annoying that Susan threw your jacket carefully	True
289	s_ab	It is those balls that Susan threw without falling	True
289	s_xx	It is annoying that Susan threw your jacket without falling	True
290	s_ab	It is those balls that Susan threw quickly	True
290	s_xx	It is annoying that Susan threw your jacket quickly	True
291	s_ab	It is those balls that Susan threw carefully	True
291	s_xx	It is annoying that Susan threw a phone carefully	True
292	s_ab	It is those balls that Susan threw without falling	True
292	s_xx	It is annoying that Susan threw a phone without falling	True
293	s_ab	It is those balls that Susan threw quickly	True
293	s_xx	It is annoying that Susan threw a phone quickly	True
294	s_ab	It is those balls that Susan threw carefully	True
294	s_xx	It is annoying that Susan threw the paperwork carefully	True
295	s_ab	It is those balls that Susan threw without falling	True
295	s_xx	It is annoying that Susan threw the paperwork without falling	True
296	s_ab	It is those balls that Susan threw quickly	True
296	s_xx	It is annoying that Susan threw the paperwork quickly	True
297	s_ab	It is those balls that Michelle lifted carefully	True
297	s_xx	It is annoying that Michelle lifted your jacket carefully	True
298	s_ab	It is those balls that Michelle lifted without falling	True
298	s_xx	It is annoying that Michelle lifted your jacket without falling	True
299	s_ab	It is those balls that Michelle lifted quickly	True
299	s_xx	It is annoying that Michelle lifted your jacket quickly	True
300	s_ab	It is those balls that Michelle lifted carefully	True
300	s_xx	It is annoying that Michelle lifted a phone carefully	True
301	s_ab	It is those balls that Michelle lifted without falling	True
301	s_xx	It is annoying that Michelle lifted a phone without falling	True
302	s_ab	It is those balls that Michelle lifted quickly	True
302	s_xx	It is annoying that Michelle lifted a phone quickly	True
303	s_ab	It is those balls that Michelle lifted carefully	True
303	s_xx	It is annoying that Michelle lifted the paperwork carefully	True
304	s_ab	It is those balls that Michelle lifted without falling	True
304	s_xx	It is annoying that Michelle lifted the paperwork without falling	True
305	s_ab	It is those balls that Michelle lifted quickly	True
305	s_xx	It is annoying that Michelle lifted the paperwork quickly	True
306	s_ab	It is those balls that Michelle stole carefully	True
306	s_xx	It is annoying that Michelle stole your jacket carefully	True
307	s_ab	It is those balls that Michelle stole without falling	True
307	s_xx	It is annoying that Michelle stole your jacket without falling	True
308	s_ab	It is those balls that Michelle stole quickly	True
308	s_xx	It is annoying that Michelle stole your jacket quickly	True
309	s_ab	It is those balls that Michelle stole carefully	True
309	s_xx	It is annoying that Michelle stole a phone carefully	True
310	s_ab	It is those balls that Michelle stole without falling	True
310	s_xx	It is annoying that Michelle stole a phone without falling	True
311	s_ab	It is those balls that Michelle stole quickly	True
311	s_xx	It is annoying that Michelle stole a phone quickly	True
312	s_ab	It is those balls that Michelle stole carefully	True
312	s_xx	It is annoying that Michelle stole the paperwork carefully	True
313	s_ab	It is those balls that Michelle stole without falling	True
313	s_xx	It is annoying that Michelle stole the paperwork without falling	True
314	s_ab	It is those balls that Michelle stole quickly	True
314	s_xx	It is annoying that Michelle stole the paperwork quickly	True
315	s_ab	It is those balls that Michelle threw carefully	True
315	s_xx	It is annoying that Michelle threw your jacket carefully	True
316	s_ab	It is those balls that Michelle threw without falling	True
316	s_xx	It is annoying that Michelle threw your jacket without falling	True
317	s_ab	It is those balls that Michelle threw quickly	True
317	s_xx	It is annoying that Michelle threw your jacket quickly	True
318	s_ab	It is those balls that Michelle threw carefully	True
318	s_xx	It is annoying that Michelle threw a phone carefully	True
319	s_ab	It is those balls that Michelle threw without falling	True
319	s_xx	It is annoying that Michelle threw a phone without falling	True
320	s_ab	It is those balls that Michelle threw quickly	True
320	s_xx	It is annoying that Michelle threw a phone quickly	True
321	s_ab	It is those balls that Michelle threw carefully	True
321	s_xx	It is annoying that Michelle threw the paperwork carefully	True
322	s_ab	It is those balls that Michelle threw without falling	True
322	s_xx	It is annoying that Michelle threw the paperwork without falling	True
323	s_ab	It is those balls that Michelle threw quickly	True
323	s_xx	It is annoying that Michelle threw the paperwork quickly	True
324	s_ab	It is her gloves that Susan lifted carefully	True
324	s_xx	It is obvious that Susan lifted your jacket carefully	True
325	s_ab	It is her gloves that Susan lifted without falling	True
325	s_xx	It is obvious that Susan lifted your jacket without falling	True
326	s_ab	It is her gloves that Susan lifted quickly	True
326	s_xx	It is obvious that Susan lifted your jacket quickly	True
327	s_ab	It is her gloves that Susan lifted carefully	True
327	s_xx	It is obvious that Susan lifted a phone carefully	True
328	s_ab	It is her gloves that Susan lifted without falling	True
328	s_xx	It is obvious that Susan lifted a phone without falling	True
329	s_ab	It is her gloves that Susan lifted quickly	True
329	s_xx	It is obvious that Susan lifted a phone quickly	True
330	s_ab	It is her gloves that Susan lifted carefully	True
330	s_xx	It is obvious that Susan lifted the paperwork carefully	True
331	s_ab	It is her gloves that Susan lifted without falling	True
331	s_xx	It is obvious that Susan lifted the paperwork without falling	True
332	s_ab	It is her gloves that Susan lifted quickly	True
332	s_xx	It is obvious that Susan lifted the paperwork quickly	True
333	s_ab	It is her gloves that Susan stole carefully	True
333	s_xx	It is obvious that Susan stole your jacket carefully	True
334	s_ab	It is her gloves that Susan stole without falling	True
334	s_xx	It is obvious that Susan stole your jacket without falling	True
335	s_ab	It is her gloves that Susan stole quickly	True
335	s_xx	It is obvious that Susan stole your jacket quickly	True
336	s_ab	It is her gloves that Susan stole carefully	True
336	s_xx	It is obvious that Susan stole a phone carefully	True
337	s_ab	It is her gloves that Susan stole without falling	True
337	s_xx	It is obvious that Susan stole a phone without falling	True
338	s_ab	It is her gloves that Susan stole quickly	True
338	s_xx	It is obvious that Susan stole a phone quickly	True
339	s_ab	It is her gloves that Susan stole carefully	True
339	s_xx	It is obvious that Susan stole the paperwork carefully	True
340	s_ab	It is her gloves that Susan stole without falling	True
340	s_xx	It is obvious that Susan stole the paperwork without falling	True
341	s_ab	It is her gloves that Susan stole quickly	True
341	s_xx	It is obvious that Susan stole the paperwork quickly	True
342	s_ab	It is her gloves that Susan threw carefully	True
342	s_xx	It is obvious that Susan threw your jacket carefully	True
343	s_ab	It is her gloves that Susan threw without falling	True
343	s_xx	It is obvious that Susan threw your jacket without falling	True
344	s_ab	It is her gloves that Susan threw quickly	True
344	s_xx	It is obvious that Susan threw your jacket quickly	True
345	s_ab	It is her gloves that Susan threw carefully	True
345	s_xx	It is obvious that Susan threw a phone carefully	True
346	s_ab	It is her gloves that Susan threw without falling	True
346	s_xx	It is obvious that Susan threw a phone without falling	True
347	s_ab	It is her gloves that Susan threw quickly	True
347	s_xx	It is obvious that Susan threw a phone quickly	True
348	s_ab	It is her gloves that Susan threw carefully	True
348	s_xx	It is obvious that Susan threw the paperwork carefully	True
349	s_ab	It is her gloves that Susan threw without falling	True
349	s_xx	It is obvious that Susan threw the paperwork without falling	True
350	s_ab	It is her gloves that Susan threw quickly	True
350	s_xx	It is obvious that Susan threw the paperwork quickly	True
351	s_ab	It is her gloves that Michelle lifted carefully	True
351	s_xx	It is obvious that Michelle lifted your jacket carefully	True
352	s_ab	It is her gloves that Michelle lifted without falling	True
352	s_xx	It is obvious that Michelle lifted your jacket without falling	True
353	s_ab	It is her gloves that Michelle lifted quickly	True
353	s_xx	It is obvious that Michelle lifted your jacket quickly	True
354	s_ab	It is her gloves that Michelle lifted carefully	True
354	s_xx	It is obvious that Michelle lifted a phone carefully	True
355	s_ab	It is her gloves that Michelle lifted without falling	True
355	s_xx	It is obvious that Michelle lifted a phone without falling	True
356	s_ab	It is her gloves that Michelle lifted quickly	True
356	s_xx	It is obvious that Michelle lifted a phone quickly	True
357	s_ab	It is her gloves that Michelle lifted carefully	True
357	s_xx	It is obvious that Michelle lifted the paperwork carefully	True
358	s_ab	It is her gloves that Michelle lifted without falling	True
358	s_xx	It is obvious that Michelle lifted the paperwork without falling	True
359	s_ab	It is her gloves that Michelle lifted quickly	True
359	s_xx	It is obvious that Michelle lifted the paperwork quickly	True
360	s_ab	It is her gloves that Michelle stole carefully	True
360	s_xx	It is obvious that Michelle stole your jacket carefully	True
361	s_ab	It is her gloves that Michelle stole without falling	True
361	s_xx	It is obvious that Michelle stole your jacket without falling	True
362	s_ab	It is her gloves that Michelle stole quickly	True
362	s_xx	It is obvious that Michelle stole your jacket quickly	True
363	s_ab	It is her gloves that Michelle stole carefully	True
363	s_xx	It is obvious that Michelle stole a phone carefully	True
364	s_ab	It is her gloves that Michelle stole without falling	True
364	s_xx	It is obvious that Michelle stole a phone without falling	True
365	s_ab	It is her gloves that Michelle stole quickly	True
365	s_xx	It is obvious that Michelle stole a phone quickly	True
366	s_ab	It is her gloves that Michelle stole carefully	True
366	s_xx	It is obvious that Michelle stole the paperwork carefully	True
367	s_ab	It is her gloves that Michelle stole without falling	True
367	s_xx	It is obvious that Michelle stole the paperwork without falling	True
368	s_ab	It is her gloves that Michelle stole quickly	True
368	s_xx	It is obvious that Michelle stole the paperwork quickly	True
369	s_ab	It is her gloves that Michelle threw carefully	True
369	s_xx	It is obvious that Michelle threw your jacket carefully	True
370	s_ab	It is her gloves that Michelle threw without falling	True
370	s_xx	It is obvious that Michelle threw your jacket without falling	True
371	s_ab	It is her gloves that Michelle threw quickly	True
371	s_xx	It is obvious that Michelle threw your jacket quickly	True
372	s_ab	It is her gloves that Michelle threw carefully	True
372	s_xx	It is obvious that Michelle threw a phone carefully	True
373	s_ab	It is her gloves that Michelle threw without falling	True
373	s_xx	It is obvious that Michelle threw a phone without falling	True
374	s_ab	It is her gloves that Michelle threw quickly	True
374	s_xx	It is obvious that Michelle threw a phone quickly	True
375	s_ab	It is her gloves that Michelle threw carefully	True
375	s_xx	It is obvious that Michelle threw the paperwork carefully	True
376	s_ab	It is her gloves that Michelle threw without falling	True
376	s_xx	It is obvious that Michelle threw the paperwork without falling	True
377	s_ab	It is her gloves that Michelle threw quickly	True
377	s_xx	It is obvious that Michelle threw the paperwork quickly	True
378	s_ab	It is her gloves that Susan lifted carefully	True
378	s_xx	It is surprising that Susan lifted your jacket carefully	True
379	s_ab	It is her gloves that Susan lifted without falling	True
379	s_xx	It is surprising that Susan lifted your jacket without falling	True
380	s_ab	It is her gloves that Susan lifted quickly	True
380	s_xx	It is surprising that Susan lifted your jacket quickly	True
381	s_ab	It is her gloves that Susan lifted carefully	True
381	s_xx	It is surprising that Susan lifted a phone carefully	True
382	s_ab	It is her gloves that Susan lifted without falling	True
382	s_xx	It is surprising that Susan lifted a phone without falling	True
383	s_ab	It is her gloves that Susan lifted quickly	True
383	s_xx	It is surprising that Susan lifted a phone quickly	True
384	s_ab	It is her gloves that Susan lifted carefully	True
384	s_xx	It is surprising that Susan lifted the paperwork carefully	True
385	s_ab	It is her gloves that Susan lifted without falling	True
385	s_xx	It is surprising that Susan lifted the paperwork without falling	True
386	s_ab	It is her gloves that Susan lifted quickly	True
386	s_xx	It is surprising that Susan lifted the paperwork quickly	True
387	s_ab	It is her gloves that Susan stole carefully	True
387	s_xx	It is surprising that Susan stole your jacket carefully	True
388	s_ab	It is her gloves that Susan stole without falling	True
388	s_xx	It is surprising that Susan stole your jacket without falling	True
389	s_ab	It is her gloves that Susan stole quickly	True
389	s_xx	It is surprising that Susan stole your jacket quickly	True
390	s_ab	It is her gloves that Susan stole carefully	True
390	s_xx	It is surprising that Susan stole a phone carefully	True
391	s_ab	It is her gloves that Susan stole without falling	True
391	s_xx	It is surprising that Susan stole a phone without falling	True
392	s_ab	It is her gloves that Susan stole quickly	True
392	s_xx	It is surprising that Susan stole a phone quickly	True
393	s_ab	It is her gloves that Susan stole carefully	True
393	s_xx	It is surprising that Susan stole the paperwork carefully	True
394	s_ab	It is her gloves that Susan stole without falling	True
394	s_xx	It is surprising that Susan stole the paperwork without falling	True
395	s_ab	It is her gloves that Susan stole quickly	True
395	s_xx	It is surprising that Susan stole the paperwork quickly	True
396	s_ab	It is her gloves that Susan threw carefully	True
396	s_xx	It is surprising that Susan threw your jacket carefully	True
397	s_ab	It is her gloves that Susan threw without falling	True
397	s_xx	It is surprising that Susan threw your jacket without falling	True
398	s_ab	It is her gloves that Susan threw quickly	True
398	s_xx	It is surprising that Susan threw your jacket quickly	True
399	s_ab	It is her gloves that Susan threw carefully	True
399	s_xx	It is surprising that Susan threw a phone carefully	True
400	s_ab	It is her gloves that Susan threw without falling	True
400	s_xx	It is surprising that Susan threw a phone without falling	True
401	s_ab	It is her gloves that Susan threw quickly	True
401	s_xx	It is surprising that Susan threw a phone quickly	True
402	s_ab	It is her gloves that Susan threw carefully	True
402	s_xx	It is surprising that Susan threw the paperwork carefully	True
403	s_ab	It is her gloves that Susan threw without falling	True
403	s_xx	It is surprising that Susan threw the paperwork without falling	True
404	s_ab	It is her gloves that Susan threw quickly	True
404	s_xx	It is surprising that Susan threw the paperwork quickly	True
405	s_ab	It is her gloves that Michelle lifted carefully	True
405	s_xx	It is surprising that Michelle lifted your jacket carefully	True
406	s_ab	It is her gloves that Michelle lifted without falling	True
406	s_xx	It is surprising that Michelle lifted your jacket without falling	True
407	s_ab	It is her gloves that Michelle lifted quickly	True
407	s_xx	It is surprising that Michelle lifted your jacket quickly	True
408	s_ab	It is her gloves that Michelle lifted carefully	True
408	s_xx	It is surprising that Michelle lifted a phone carefully	True
409	s_ab	It is her gloves that Michelle lifted without falling	True
409	s_xx	It is surprising that Michelle lifted a phone without falling	True
410	s_ab	It is her gloves that Michelle lifted quickly	True
410	s_xx	It is surprising that Michelle lifted a phone quickly	True
411	s_ab	It is her gloves that Michelle lifted carefully	True
411	s_xx	It is surprising that Michelle lifted the paperwork carefully	True
412	s_ab	It is her gloves that Michelle lifted without falling	True
412	s_xx	It is surprising that Michelle lifted the paperwork without falling	True
413	s_ab	It is her gloves that Michelle lifted quickly	True
413	s_xx	It is surprising that Michelle lifted the paperwork quickly	True
414	s_ab	It is her gloves that Michelle stole carefully	True
414	s_xx	It is surprising that Michelle stole your jacket carefully	True
415	s_ab	It is her gloves that Michelle stole without falling	True
415	s_xx	It is surprising that Michelle stole your jacket without falling	True
416	s_ab	It is her gloves that Michelle stole quickly	True
416	s_xx	It is surprising that Michelle stole your jacket quickly	True
417	s_ab	It is her gloves that Michelle stole carefully	True
417	s_xx	It is surprising that Michelle stole a phone carefully	True
418	s_ab	It is her gloves that Michelle stole without falling	True
418	s_xx	It is surprising that Michelle stole a phone without falling	True
419	s_ab	It is her gloves that Michelle stole quickly	True
419	s_xx	It is surprising that Michelle stole a phone quickly	True
420	s_ab	It is her gloves that Michelle stole carefully	True
420	s_xx	It is surprising that Michelle stole the paperwork carefully	True
421	s_ab	It is her gloves that Michelle stole without falling	True
421	s_xx	It is surprising that Michelle stole the paperwork without falling	True
422	s_ab	It is her gloves that Michelle stole quickly	True
422	s_xx	It is surprising that Michelle stole the paperwork quickly	True
423	s_ab	It is her gloves that Michelle threw carefully	True
423	s_xx	It is surprising that Michelle threw your jacket carefully	True
424	s_ab	It is her gloves that Michelle threw without falling	True
424	s_xx	It is surprising that Michelle threw your jacket without falling	True
425	s_ab	It is her gloves that Michelle threw quickly	True
425	s_xx	It is surprising that Michelle threw your jacket quickly	True
426	s_ab	It is her gloves that Michelle threw carefully	True
426	s_xx	It is surprising that Michelle threw a phone carefully	True
427	s_ab	It is her gloves that Michelle threw without falling	True
427	s_xx	It is surprising that Michelle threw a phone without falling	True
428	s_ab	It is her gloves that Michelle threw quickly	True
428	s_xx	It is surprising that Michelle threw a phone quickly	True
429	s_ab	It is her gloves that Michelle threw carefully	True
429	s_xx	It is surprising that Michelle threw the paperwork carefully	True
430	s_ab	It is her gloves that Michelle threw without falling	True
430	s_xx	It is surprising that Michelle threw the paperwork without falling	True
431	s_ab	It is her gloves that Michelle threw quickly	True
431	s_xx	It is surprising that Michelle threw the paperwork quickly	True
432	s_ab	It is her gloves that Susan lifted carefully	True
432	s_xx	It is annoying that Susan lifted your jacket carefully	True
433	s_ab	It is her gloves that Susan lifted without falling	True
433	s_xx	It is annoying that Susan lifted your jacket without falling	True
434	s_ab	It is her gloves that Susan lifted quickly	True
434	s_xx	It is annoying that Susan lifted your jacket quickly	True
435	s_ab	It is her gloves that Susan lifted carefully	True
435	s_xx	It is annoying that Susan lifted a phone carefully	True
436	s_ab	It is her gloves that Susan lifted without falling	True
436	s_xx	It is annoying that Susan lifted a phone without falling	True
437	s_ab	It is her gloves that Susan lifted quickly	True
437	s_xx	It is annoying that Susan lifted a phone quickly	True
438	s_ab	It is her gloves that Susan lifted carefully	True
438	s_xx	It is annoying that Susan lifted the paperwork carefully	True
439	s_ab	It is her gloves that Susan lifted without falling	True
439	s_xx	It is annoying that Susan lifted the paperwork without falling	True
440	s_ab	It is her gloves that Susan lifted quickly	True
440	s_xx	It is annoying that Susan lifted the paperwork quickly	True
441	s_ab	It is her gloves that Susan stole carefully	True
441	s_xx	It is annoying that Susan stole your jacket carefully	True
442	s_ab	It is her gloves that Susan stole without falling	True
442	s_xx	It is annoying that Susan stole your jacket without falling	True
443	s_ab	It is her gloves that Susan stole quickly	True
443	s_xx	It is annoying that Susan stole your jacket quickly	True
444	s_ab	It is her gloves that Susan stole carefully	True
444	s_xx	It is annoying that Susan stole a phone carefully	True
445	s_ab	It is her gloves that Susan stole without falling	True
445	s_xx	It is annoying that Susan stole a phone without falling	True
446	s_ab	It is her gloves that Susan stole quickly	True
446	s_xx	It is annoying that Susan stole a phone quickly	True
447	s_ab	It is her gloves that Susan stole carefully	True
447	s_xx	It is annoying that Susan stole the paperwork carefully	True
448	s_ab	It is her gloves that Susan stole without falling	True
448	s_xx	It is annoying that Susan stole the paperwork without falling	True
449	s_ab	It is her gloves that Susan stole quickly	True
449	s_xx	It is annoying that Susan stole the paperwork quickly	True
450	s_ab	It is her gloves that Susan threw carefully	True
450	s_xx	It is annoying that Susan threw your jacket carefully	True
451	s_ab	It is her gloves that Susan threw without falling	True
451	s_xx	It is annoying that Susan threw your jacket without falling	True
452	s_ab	It is her gloves that Susan threw quickly	True
452	s_xx	It is annoying that Susan threw your jacket quickly	True
453	s_ab	It is her gloves that Susan threw carefully	True
453	s_xx	It is annoying that Susan threw a phone carefully	True
454	s_ab	It is her gloves that Susan threw without falling	True
454	s_xx	It is annoying that Susan threw a phone without falling	True
455	s_ab	It is her gloves that Susan threw quickly	True
455	s_xx	It is annoying that Susan threw a phone quickly	True
456	s_ab	It is her gloves that Susan threw carefully	True
456	s_xx	It is annoying that Susan threw the paperwork carefully	True
457	s_ab	It is her gloves that Susan threw without falling	True
457	s_xx	It is annoying that Susan threw the paperwork without falling	True
458	s_ab	It is her gloves that Susan threw quickly	True
458	s_xx	It is annoying that Susan threw the paperwork quickly	True
459	s_ab	It is her gloves that Michelle lifted carefully	True
459	s_xx	It is annoying that Michelle lifted your jacket carefully	True
460	s_ab	It is her gloves that Michelle lifted without falling	True
460	s_xx	It is annoying that Michelle lifted your jacket without falling	True
461	s_ab	It is her gloves that Michelle lifted quickly	True
461	s_xx	It is annoying that Michelle lifted your jacket quickly	True
462	s_ab	It is her gloves that Michelle lifted carefully	True
462	s_xx	It is annoying that Michelle lifted a phone carefully	True
463	s_ab	It is her gloves that Michelle lifted without falling	True
463	s_xx	It is annoying that Michelle lifted a phone without falling	True
464	s_ab	It is her gloves that Michelle lifted quickly	True
464	s_xx	It is annoying that Michelle lifted a phone quickly	True
465	s_ab	It is her gloves that Michelle lifted carefully	True
465	s_xx	It is annoying that Michelle lifted the paperwork carefully	True
466	s_ab	It is her gloves that Michelle lifted without falling	True
466	s_xx	It is annoying that Michelle lifted the paperwork without falling	True
467	s_ab	It is her gloves that Michelle lifted quickly	True
467	s_xx	It is annoying that Michelle lifted the paperwork quickly	True
468	s_ab	It is her gloves that Michelle stole carefully	True
468	s_xx	It is annoying that Michelle stole your jacket carefully	True
469	s_ab	It is her gloves that Michelle stole without falling	True
469	s_xx	It is annoying that Michelle stole your jacket without falling	True
470	s_ab	It is her gloves that Michelle stole quickly	True
470	s_xx	It is annoying that Michelle stole your jacket quickly	True
471	s_ab	It is her gloves that Michelle stole carefully	True
471	s_xx	It is annoying that Michelle stole a phone carefully	True
472	s_ab	It is her gloves that Michelle stole without falling	True
472	s_xx	It is annoying that Michelle stole a phone without falling	True
473	s_ab	It is her gloves that Michelle stole quickly	True
473	s_xx	It is annoying that Michelle stole a phone quickly	True
474	s_ab	It is her gloves that Michelle stole carefully	True
474	s_xx	It is annoying that Michelle stole the paperwork carefully	True
475	s_ab	It is her gloves that Michelle stole without falling	True
475	s_xx	It is annoying that Michelle stole the paperwork without falling	True
476	s_ab	It is her gloves that Michelle stole quickly	True
476	s_xx	It is annoying that Michelle stole the paperwork quickly	True
477	s_ab	It is her gloves that Michelle threw carefully	True
477	s_xx	It is annoying that Michelle threw your jacket carefully	True
478	s_ab	It is her gloves that Michelle threw without falling	True
478	s_xx	It is annoying that Michelle threw your jacket without falling	True
479	s_ab	It is her gloves that Michelle threw quickly	True
479	s_xx	It is annoying that Michelle threw your jacket quickly	True
480	s_ab	It is her gloves that Michelle threw carefully	True
480	s_xx	It is annoying that Michelle threw a phone carefully	True
481	s_ab	It is her gloves that Michelle threw without falling	True
481	s_xx	It is annoying that Michelle threw a phone without falling	True
482	s_ab	It is her gloves that Michelle threw quickly	True
482	s_xx	It is annoying that Michelle threw a phone quickly	True
483	s_ab	It is her gloves that Michelle threw carefully	True
483	s_xx	It is annoying that Michelle threw the paperwork carefully	True
484	s_ab	It is her gloves that Michelle threw without falling	True
484	s_xx	It is annoying that Michelle threw the paperwork without falling	True
485	s_ab	It is her gloves that Michelle threw quickly	True
485	s_xx	It is annoying that Michelle threw the paperwork quickly	True
